词根分类	序号	内容
动作	1	橙色“S”形道路
动作	2	木棍推石块
动作	3	信使抛卷轴
动作	4	卡通路标立
动作	5	骆驼商队行
动作	6	马拉车前进
动作	7	陶轮转黏土
动作	8	商人拌香料
动作	9	走钢丝表演
动作	10	小丑抛彩球
动作	11	舞者旋转裙
动作	12	搬运工抱箱
动作	13	仓鼠跑笼子
动作	14	水车转水滴
动作	15	投石机抛石
动作	16	税吏撒金币
动作	17	船夫划小船
动作	18	旅人攀台阶
动作	19	木桶滚斜坡
动作	20	表演者拍手
动作	21	农民扛麻袋
动作	22	手臂伸出去
动作	23	弓箭手拉弓
动作	24	小狗走路中
动作	25	五鸟飞“V”形
感知	1	水晶球漂浮
感知	2	书页飘光芒
感知	3	望远镜斜指
感知	4	椭圆镜映影
感知	5	羊皮卷展开
感知	6	魔杖发光芒
感知	7	石碑鸣符文
感知	8	石手握卷轴
感知	9	火焰现人脸
感知	10	树冠洒光线
感知	11	乌鸦飞问号
感知	12	石板刻预言
感知	13	树叶浮符号
感知	14	水晶发音波
感知	15	灯笼漂光芒
感知	16	猫头鹰凝视
感知	17	界碑指方向
感知	18	鹦鹉说人声
感知	19	巨树庇光点
感知	20	圆镜现幻象
感知	21	石狮吼声波
感知	22	风铃响音符
感知	23	瞭望钟鸣响
感知	24	果实发光芒
感知	25	哨兵持长矛
构建	1	控制台按钮
构建	2	机械塔组装
构建	3	孵化舱孕育
构建	4	机械臂旋转
构建	5	储存罐溢能
构建	6	瞭望塔高耸
构建	7	零件架摆放
构建	8	指挥台布置
构建	9	浮空台分离
构建	10	太阳能板展
构建	11	引擎喷火焰
构建	12	打印机造锤
构建	13	货箱贴标签
构建	14	居住舱生态
构建	15	飞船停靠台
构建	16	样本箱未知
构建	17	天线发信号
构建	18	支撑柱稳固
构建	19	投影仪全息
构建	20	防护罩覆盖
构建	21	自动梯上升
构建	22	居住区小屋
构建	23	信息屏显示
构建	24	熔炉倒金属
构建	25	调节器测量
空间	1	瞭望塔正直
空间	2	透明台漂浮
空间	3	浮桥连小岛
空间	4	风车叶旋转
空间	5	机械爪抓箱
空间	6	水池圆波纹
空间	7	地图标路径
空间	8	巨型水晶辉
空间	9	云雕奇形状
空间	10	瞭望台圆形
空间	11	基座置石碑
空间	12	浮石裹雾气
空间	13	空地散枯草
空间	14	天空跑道宽
空间	15	天平持平衡
空间	16	瞭望舱球形
空间	17	护栏靠悬崖
空间	18	旗帜飘三角
空间	19	石板被敲平
空间	20	漂浮灯发光
空间	21	风向标转动
空间	22	围栏分界限
空间	23	镜面池对称
空间	24	浮岛裂两半
空间	25	运输车悬浮
力量	1	机械臂递铁
力量	2	号角发声波
力量	3	铁链悬挂钩
力量	4	战旗飘胜利
力量	5	巨锤压金属
力量	6	石座裂纹沉
