词根变体	词根含义	词根分类	3d模型描述
vi, via	路	动作	蜿蜒道路 (vi, via - 路) - 场景中央的曲折道路，象征旅途。
mov, mob, mot	移动	动作	移动的骆驼商队 (mov, mob, mot - 移动) - 一队移动的骆驼商队。
miss, mit	投，送，发	动作	投掷卷轴的信使 (miss, mit - 投，送，发) - 一个信使投掷信息卷轴。
duct, duc	引导	动作	指向前方的向导 (duct, duc - 引导) - 一个向导指向前方，引导商队。
ven, vent	来	动作	到达的旅人 (ven, vent - 来) - 一群刚抵达集市的旅人。
tra, tract, treat	拖，拉，拽	动作	被拉动的货车 (tra, tract, treat - 拖，拉，拽) - 一辆被拉动的货车。
torn, tour, tourn	转，迂回	动作	旋转的陶轮 (torn, tour, tourn - 转，迂回) - 陶匠旋转的轮子。
mix, misc, mixt	混杂,混合	动作	混合香料的商人 (mix, misc, mixt - 混杂，混合) - 一个商人在摊位上混合香料。
ced, ceed, cess	走	动作	步行的朝圣者 (ced, ceed, cess - 走) - 一个步行的朝圣者。
jec, jac, jet	投掷	动作	抛掷杂耍球的小丑 (jec, jac, jet - 投掷) - 杂耍者抛掷球。
vers, vert	转	动作	旋转的舞者 (vers, vert - 转) - 一个旋转起舞的舞者。
port	拿，取	动作	搬运木箱的搬运工 (port - 拿，取) - 一个搬运木箱的搬运工。
cur, curs, cour, cours	跑	动作	飞奔而过的跑者 (cur, curs, cour, cours - 跑) - 一个跑过人群的跑者。
rot	轮，转	动作	旋转的水车 (rot - 轮，转) - 一个旋转的水车。
cast	投掷	动作	发射石头的投石机 (cast - 投掷) - 一个投石机发射石头。
tribut, tribu	给	动作	分发钱币的税吏 (tribut, tribu - 给) - 一个分发贡金的税吏。
gest, gist, ger	运送	动作	划船运货的船夫 (gest, gist, ger - 运送) - 一个划船运货的船夫。
gress, grad, gred, gre	步，走	动作	攀登台阶的旅人 (gress, grad, gred, gre - 步，走) - 一个攀登台阶的旅人。
vol, volv, volt	滚，转	动作	滚动的木桶 (vol, volv, volt - 滚，转) - 一个滚动的木桶。
plod, plaud, plex	爆破，鼓掌	动作	鼓掌的表演者 (plod, plaud, plex - 爆破，鼓掌) - 一个鼓掌表演的艺人。
fer	带来，拿，负担	动作	扛着麻袋的农民 (fer - 带来，拿，负担) - 一个扛着麻袋的农民。
tend, tens, tent	伸	动作	拉伸的绳桥 (tend, tens, tent - 伸) - 一座拉伸的绳桥。
tir	拉，引	动作	被拉开的弓弦 (tir - 拉，引) - 一个拉开的弓弦，箭手瞄准。
it	走	动作	独自行走的游牧民 (it - 走) - 一个独自行走的游牧民。
migr	迁移	动作	天空中迁徙的鸟群 (migr - 迁移) - 天空上一群迁徙的鸟。
path, pat, pass, pathy	感受	感知	发光的感知水晶球 (path, pat, pass, pathy - 感受) - 水晶球发出微光，象征感知与情感。
sci	知	感知	漂浮的知识之书 (sci - 知) - 一本悬浮的书，散发智慧光芒。
